iter	RMSE
146	16.16899917
147	16.15626408
148	16.14463484
149	16.13426553
150	16.12483306
151	16.11456493
152	16.10485657
153	16.09532585
154	16.08592017
155	16.07592801
156	16.06505125
157	16.05640226
158	16.0494409
159	16.04282124
160	16.0358856
161	16.0270093
162	16.02116569
163	16.01353493
164	16.00564862
165	15.99996646
166	15.98959912
167	15.97947166
168	15.97291508
169	15.96436509
170	15.95764597
171	15.94639824
172	15.93770742
173	15.93076288
174	15.9230415
175	15.914219
176	15.90592408
177	15.89809978
178	15.89064535
179	15.88224291
180	15.87648184
181	15.86757837
182	15.85907404
183	15.85121994
184	15.84435075
185	15.83497414
186	15.82952593
187	15.82334339
188	15.81811772
189	15.81070541
190	15.80220853
191	15.79486114
192	15.78821965
193	15.78374165
194	15.78008638
195	15.77313798
196	15.76550635
197	15.75820395
198	15.75347159
199	15.74913745
200	15.74380955
201	15.73999042
202	15.7325101
203	15.72518085
204	15.71722605
205	15.71129629
206	15.70722412
207	15.70122398
208	15.69529992
209	15.69056078
210	15.68686283
211	15.68115877
212	15.67452773
213	15.66831159
214	15.6629695
215	15.65900662
216	15.65418048
217	15.6501589
218	15.64432807
219	15.64041676
220	15.63638242
221	15.63021152
222	15.62266811
223	15.61803466
224	15.61422194
225	15.60942759
226	15.60342332
227	15.59931444
228	15.59338429
229	15.58772261
230	15.58245931
231	15.57922966
232	15.57601707
233	15.57075722
234	15.56720845
235	15.56311083
236	15.55966914
237	15.55555192
238	15.5504092
239	15.54465696
240	15.54072958
241	15.5350979
242	15.53036968
243	15.52615021
244	15.52152564
245	15.5164737
246	15.51300759
247	15.5095401
248	15.50602544
249	15.50245134
250	15.49698187
251	15.49323301
252	15.49070607
253	15.4865055
254	15.48289715
255	15.47876585
256	15.47678517
257	15.47338844
258	15.47089
259	15.46718705
260	15.46346092
261	15.46002502
262	15.45601057
263	15.44955432
264	15.44482373
265	15.44191971
266	15.43895982
267	15.43595186
268	15.43296056
269	15.42844188
270	15.4254011
271	15.42212238
272	15.4189608
273	15.41694052
274	15.41414843
275	15.41207317
276	15.40934758
277	15.40754499
278	15.40441311
279	15.40044212
280	15.39619183
281	15.39251014
282	15.3884063
283	15.38456629
284	15.38181507
285	15.3776097
286	15.37426493
287	15.37178775
288	15.36926986
289	15.36688062
290	15.36192461
291	15.35961648
292	15.35729835
293	15.35425748
294	15.35073105
295	15.34727088
296	15.34462266
297	15.34059775
298	15.33700922
299	15.33496741
300	15.33157806
301	15.32802458
302	15.32513763
303	15.3225528
304	15.31930521
305	15.31619631
306	15.31300687
307	15.31004972
308	15.3065069
309	15.30405276
310	15.30150346
311	15.29820392
312	15.29619918
313	15.2942757
314	15.29195035
315	15.28821511
316	15.2852622
317	15.28176179
318	15.27990063
319	15.27670843
320	15.27470153
321	15.27233598
322	15.26920319
323	15.26744241
324	15.2649683
325	15.26266755
326	15.26026275
327	15.25780662
328	15.25588524
329	15.25391135
330	15.25028521
331	15.24779414
332	15.2453872
333	15.24289694
334	15.24007371
335	15.23729049
336	15.23475512
337	15.23116921
338	15.22864947
339	15.22609148
340	15.22376367
341	15.22159988
342	15.21916356
343	15.21811728
344	15.21533846
345	15.21270299
346	15.20988759
347	15.20845393
348	15.20631402
349	15.20375414
350	15.20170688
351	15.19847559
352	15.19628918
353	15.1935231
354	15.19124489
355	15.18883511
356	15.18717571
357	15.18503927
358	15.18246757
359	15.18046895
360	15.17819141
361	15.17616632
362	15.17407883
363	15.17151903
364	15.16951156
365	15.16697253
366	15.16577093
367	15.16380192
368	15.16202485
369	15.16029496
370	15.15749157
371	15.15572399
372	15.15371703
373	15.15212545
374	15.1497636
375	15.14738514
376	15.14571008
377	15.14306639
378	15.14162082
379	15.13948617
380	15.13795627
381	15.13591171
382	15.13395822
383	15.13170688
384	15.12962636
385	15.12684869
386	15.12490685
387	15.12253242
388	15.12061528
389	15.11884796
390	15.11652818
391	15.11330315
392	15.10983345
393	15.1078378
394	15.1060602
395	15.1036647
396	15.1017187
397	15.09970438
398	15.09787135
399	15.09444162
400	15.09168584
401	15.08987046
402	15.08888752
403	15.08644577
404	15.08412676
405	15.08152452
406	15.07967184
407	15.07745622
408	15.07606464
409	15.07387668
410	15.07225705
411	15.07070994
412	15.069142
413	15.06675092
414	15.06497521
415	15.06261531
416	15.061156
417	15.05922475
418	15.05730114
419	15.05612609
420	15.0544457
421	15.05170883
422	15.04984765
423	15.04825943
424	15.04614165
425	15.04337644
426	15.04013706
427	15.03831611
428	15.03672784
429	15.0352673
430	15.03341558
431	15.03227655
432	15.03092257
433	15.02924846
434	15.0275498
435	15.02604606
436	15.02388896
437	15.02173091
438	15.02012637
439	15.0186185
440	15.01676082
441	15.01546603
442	15.0139942
443	15.0110476
444	15.00951838
445	15.00824023
446	15.00665437
447	15.00374376
448	15.00229976
449	14.9988552
450	14.9971003
451	14.99485226
452	14.99318314
453	14.99153417
454	14.99014974
455	14.98800361
456	14.98610206
457	14.9847481
458	14.98334662
459	14.98256087
460	14.98081724
461	14.97912413
462	14.97821618
463	14.97693643
464	14.97547445
465	14.97335717
466	14.97187134
467	14.97066091
468	14.96919422
469	14.96772833
470	14.96656412
471	14.96536344
472	14.9643054
473	14.96323026
474	14.96205347
475	14.96006747
476	14.95876081
477	14.95696002
478	14.95550297
479	14.95414989
480	14.9517227
481	14.94964956
482	14.94814011
483	14.94656773
484	14.94432753
485	14.94277923
486	14.94155193
487	14.9400328
488	14.9384157
489	14.93680622
490	14.93514549
491	14.93396708
492	14.93230597
493	14.93073039
494	14.92927809
495	14.92733797
496	14.92604574
497	14.92365881
498	14.92186565
499	14.92078273
