iter	RMSE
0	75.90290053
1	73.3089989
2	70.80527633
3	68.43275634
4	66.14934757
5	63.93550161
6	61.82419234
7	59.80363028
8	57.86787546
9	55.99820026
10	54.21098087
11	52.51060093
12	50.88682219
13	49.31964883
14	47.81768206
15	46.39449525
16	45.02518701
17	43.72811306
18	42.48109965
19	41.31013066
20	40.15983886
21	39.05876231
22	37.99125239
23	37.01291381
24	36.05612733
25	35.15842335
26	34.28266352
27	33.4445826
28	32.65346147
29	31.89889199
30	31.19277414
31	30.50706469
32	29.87069524
33	29.22808096
34	28.64703266
35	28.08256831
36	27.54793311
37	27.04817058
38	26.56920784
39	26.07468982
40	25.62070806
41	25.17759262
42	24.76757571
43	24.36859644
44	24.01682882
45	23.67257064
46	23.34836321
47	23.03091011
48	22.70187842
49	22.38998753
50	22.10218705
51	21.85110629
52	21.58780494
53	21.35673459
54	21.13202664
55	20.92762064
56	20.70528799
57	20.50257222
58	20.31062049
59	20.14274789
60	19.98385574
61	19.81631369
62	19.6646819
63	19.51562056
64	19.36749272
65	19.24537603
66	19.12418448
67	18.99922886
68	18.88855362
69	18.78157856
70	18.67025147
71	18.56893672
72	18.4790386
73	18.39347431
74	18.2956996
75	18.22645176
76	18.14900149
77	18.0757223
78	18.01478602
79	17.92967998
80	17.8757557
81	17.8163524
82	17.75547655
83	17.70203122
84	17.65047489
85	17.60819766
86	17.56862695
87	17.52051582
88	17.46415168
89	17.42784587
90	17.37617336
91	17.32228293
92	17.28947177
93	17.24204752
94	17.20838251
95	17.17909584
96	17.13450891
97	17.09492832
98	17.06969023
99	17.03452787
100	17.00952796
101	16.97252755
102	16.9420462
103	16.90884696
104	16.88370207
105	16.85750409
106	16.82641468
107	16.7996024
108	16.77527906
109	16.75640187
110	16.73020849
111	16.71170417
112	16.69362927
113	16.66520078
114	16.6477571
115	16.63309648
116	16.61435172
117	16.59092052
118	16.56944063
119	16.55397971
120	16.52762445
121	16.5098792
122	16.49231147
123	16.48114238
124	16.46198533
125	16.44438093
126	16.42784465
127	16.41728476
128	16.40505058
129	16.39156012
130	16.37458043
131	16.36363492
132	16.34833651
133	16.33706628
134	16.32032064
135	16.3047079
136	16.29356727
137	16.27462261
138	16.26419687
139	16.25129212
140	16.23651165
141	16.22590942
142	16.21467662
143	16.20642452
144	16.19319187
145	16.1844561
